date,sector,compra,compra_pc,venda,net,net_pc
2006-07-26,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-27,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-27,Bancos,357947,84.36,41547,316400,74.57
2006-07-27,DTVM'S e Corretoras de Valores,9039,2.13,950,8089,1.91
2006-07-27,Invest Institucional Nacional,53239,12.55,4694,48545,11.440000000000001
2006-07-27,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-28,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-28,Bancos,357947,84.36,41547,316400,74.57
2006-07-28,DTVM'S e Corretoras de Valores,9039,2.13,950,8089,1.91
2006-07-28,Invest Institucional Nacional,53239,12.55,4694,48545,11.440000000000001
2006-07-28,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-07-31,Banco Central,3350,0.79,376324,-372974,-87.89999999999999
2006-07-31,Bancos,357947,84.36,41373,316574,74.61
2006-07-31,DTVM'S e Corretoras de Valores,9039,2.13,1124,7915,1.8699999999999999
2006-07-31,Invest Institucional Nacional,53239,12.55,4694,48545,11.440000000000001
2006-07-31,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-08-01,Banco Central,3350,0.79,377024,-373674,-87.96
2006-08-01,Bancos,361447,85.09,41173,320274,75.4
2006-08-01,DTVM'S e Corretoras de Valores,9039,2.13,1124,7915,1.8699999999999999
2006-08-01,Invest Institucional Nacional,50239,11.83,4694,45545,10.73
2006-08-01,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-08-02,Banco Central,3350,0.79,377024,-373674,-87.96
2006-08-02,Bancos,361447,85.09,41173,320274,75.4
2006-08-02,DTVM'S e Corretoras de Valores,9039,2.13,1124,7915,1.8699999999999999
2006-08-02,Invest Institucional Nacional,50239,11.83,4694,45545,10.73
2006-08-02,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-08-03,Banco Central,3350,0.79,377024,-373674,-87.96
2006-08-03,Bancos,361447,85.09,41173,320274,75.4
2006-08-03,DTVM'S e Corretoras de Valores,9039,2.13,1124,7915,1.8699999999999999
2006-08-03,Invest Institucional Nacional,50239,11.83,4694,45545,10.73
2006-08-03,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-08-04,Banco Central,3350,0.79,377024,-373674,-87.96
2006-08-04,Bancos,361447,85.09,41173,320274,75.4
2006-08-04,DTVM'S e Corretoras de Valores,9039,2.13,1124,7915,1.8699999999999999
2006-08-04,Invest Institucional Nacional,50239,11.83,4694,45545,10.73
2006-08-04,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-08-07,Banco Central,3350,0.79,377024,-373674,-87.96
2006-08-07,Bancos,361447,85.09,41173,320274,75.4
2006-08-07,DTVM'S e Corretoras de Valores,9039,2.13,1124,7915,1.8699999999999999
2006-08-07,Invest Institucional Nacional,50239,11.83,4694,45545,10.73
2006-08-07,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-08-08,Banco Central,3350,0.79,377024,-373674,-87.96
2006-08-08,Bancos,361447,85.09,41173,320274,75.4
2006-08-08,DTVM'S e Corretoras de Valores,9039,2.13,1124,7915,1.8699999999999999
2006-08-08,Invest Institucional Nacional,50239,11.83,4694,45545,10.73
2006-08-08,Investidores Não Residentes,730,0.17,790,-60,-0.01999999999999999
2006-08-09,Banco Central,3350,0.79,377024,-373674,-87.96
