date,sector,compra,compra_pc,venda,net,net_pc
2013-10-07,DTVM'S e Corretoras de Valores,115,0.01,1215,-1100,-0.12000000000000001
2013-10-07,Invest Institucional Nacional,372268,38.67,353401,18867,1.9600000000000009
2013-10-07,Investidores Não Residentes,345145,35.86,165603,179542,18.66
2013-10-07,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-07,Pessoa Física,3640,0.38,400,3240,0.34
2013-10-07,Pessoa Jurídica Não Financeira,42395,4.4,24565,17830,1.8500000000000005
2013-10-08,Bancos,199613,20.35,432692,-233079,-23.759999999999998
2013-10-08,DTVM'S e Corretoras de Valores,245,0.02,1180,-935,-0.09999999999999999
2013-10-08,Invest Institucional Nacional,376994,38.43,358000,18994,1.9299999999999997
2013-10-08,Investidores Não Residentes,357915,36.49,164140,193775,19.76
2013-10-08,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-08,Pessoa Física,3640,0.37,465,3175,0.32
2013-10-08,Pessoa Jurídica Não Financeira,42490,4.33,24445,18045,1.8399999999999999
2013-10-09,Bancos,208278,21.27,421212,-212934,-21.74
2013-10-09,DTVM'S e Corretoras de Valores,85,0.01,385,-300,-0.03
2013-10-09,Invest Institucional Nacional,369166,37.7,353586,15580,1.5900000000000034
2013-10-09,Investidores Não Residentes,355255,36.28,177681,177574,18.14
2013-10-09,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-09,Pessoa Física,3655,0.37,430,3225,0.33
2013-10-09,Pessoa Jurídica Não Financeira,42770,4.37,25940,16830,1.7200000000000002
2013-10-10,Bancos,215353,21.93,406927,-191574,-19.520000000000003
2013-10-10,DTVM'S e Corretoras de Valores,135,0.01,380,-245,-0.03
2013-10-10,Invest Institucional Nacional,366412,37.32,356736,9676,0.9799999999999969
2013-10-10,Investidores Não Residentes,352388,35.89,192330,160058,16.3
2013-10-10,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-10,Pessoa Física,4310,0.44,390,3920,0.4
2013-10-10,Pessoa Jurídica Não Financeira,43160,4.4,25020,18140,1.8500000000000005
2013-10-11,Bancos,215548,21.72,413387,-197839,-19.939999999999998
2013-10-11,DTVM'S e Corretoras de Valores,115,0.01,375,-260,-0.03
2013-10-11,Invest Institucional Nacional,362652,36.55,358005,4647,0.46999999999999886
2013-10-11,Investidores Não Residentes,366298,36.92,194951,171347,17.270000000000003
2013-10-11,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-11,Pessoa Física,4350,0.44,315,4035,0.41000000000000003
2013-10-11,Pessoa Jurídica Não Financeira,43255,4.36,25210,18045,1.8200000000000003
2013-10-14,Bancos,213973,21.52,414767,-200794,-20.2
2013-10-14,DTVM'S e Corretoras de Valores,125,0.01,375,-250,-0.03
2013-10-14,Invest Institucional Nacional,359071,36.12,357824,1247,0.12999999999999545
2013-10-14,Investidores Não Residentes,373501,37.57,195249,178252,17.93
2013-10-14,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-14,Pessoa Física,4125,0.41,360,3765,0.37
2013-10-14,Pessoa Jurídica Não Financeira,43275,4.35,25520,17755,1.7799999999999998
2013-10-15,Bancos,211118,21.41,412207,-201089,-20.400000000000002
2013-10-15,DTVM'S e Corretoras de Valores,195,0.02,340,-145,-0.009999999999999998
2013-10-15,Invest Institucional Nacional,360645,36.58,355613,5032,0.509999999999998
2013-10-15,Investidores Não Residentes,366540,37.17,192928,173612,17.6
2013-10-15,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-15,Pessoa Física,4260,0.43,300,3960,0.4
2013-10-15,Pessoa Jurídica Não Financeira,43205,4.38,24600,18605,1.8899999999999997
2013-10-16,Bancos,206898,20.65,419777,-212879,-21.240000000000002
2013-10-16,DTVM'S e Corretoras de Valores,165,0.02,350,-185,-0.009999999999999998
2013-10-16,Invest Institucional Nacional,363983,36.32,348220,15763,1.5700000000000003
2013-10-16,Investidores Não Residentes,382853,38.21,208927,173926,17.36
2013-10-16,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-16,Pessoa Física,4450,0.44,455,3995,0.39
2013-10-16,Pessoa Jurídica Não Financeira,43670,4.36,24315,19355,1.9300000000000002
2013-10-17,Bancos,217253,21.36,428652,-211399,-20.79
2013-10-17,DTVM'S e Corretoras de Valores,170,0.02,370,-200,-0.02
2013-10-17,Invest Institucional Nacional,371762,36.56,353379,18383,1.8100000000000023
2013-10-17,Investidores Não Residentes,378729,37.24,210338,168391,16.560000000000002
2013-10-17,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-17,Pessoa Física,4910,0.48,290,4620,0.44999999999999996
2013-10-17,Pessoa Jurídica Não Financeira,44035,4.33,23855,20180,1.98
2013-10-18,Bancos,216438,21.21,417292,-200854,-19.68
2013-10-18,DTVM'S e Corretoras de Valores,205,0.02,380,-175,-0.02
2013-10-18,Invest Institucional Nacional,379616,37.2,362890,16726,1.6400000000000006
2013-10-18,Investidores Não Residentes,378365,37.07,213392,164973,16.16
2013-10-18,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-18,Pessoa Física,4530,0.44,350,4180,0.41000000000000003
2013-10-18,Pessoa Jurídica Não Financeira,41390,4.06,26265,15125,1.4899999999999998
2013-10-21,Bancos,213427,20.78,412126,-198699,-19.339999999999996
2013-10-21,DTVM'S e Corretoras de Valores,185,0.02,380,-195,-0.02
2013-10-21,Invest Institucional Nacional,389456,37.91,368605,20851,2.029999999999994
2013-10-21,Investidores Não Residentes,378391,36.83,220183,158208,15.399999999999999
2013-10-21,Outras Jurídicas Financeiras,25,0,0,25,0
2013-10-21,Pessoa Física,4310,0.42,375,3935,0.38
2013-10-21,Pessoa Jurídica Não Financeira,41525,4.04,25650,15875,1.54
2013-10-22,Bancos,226155,21.36,411974,-185819,-17.549999999999997
2013-10-22,DTVM'S e Corretoras de Valores,70,0.01,350,-280,-0.019999999999999997
2013-10-22,Invest Institucional Nacional,380361,35.93,360338,20023,1.8999999999999986
2013-10-22,Investidores Não Residentes,405827,38.33,259936,145891,13.779999999999998
2013-10-22,Outras Jurídicas Financeiras,80,0.01,0,80,0.01
2013-10-22,Pessoa Física,4060,0.38,280,3780,0.35
2013-10-22,Pessoa Jurídica Não Financeira,42200,3.99,25875,16325,1.5500000000000003
2013-10-23,Bancos,223651,21.13,421494,-197843,-18.69
2013-10-23,DTVM'S e Corretoras de Valores,75,0.01,340,-265,-0.019999999999999997
2013-10-23,Invest Institucional Nacional,388189,36.68,368696,19493,1.8500000000000014
2013-10-23,Investidores Não Residentes,400706,37.86,241356,159350,15.059999999999999
2013-10-23,Outras Jurídicas Financeiras,80,0.01,0,80,0.01
2013-10-23,Pessoa Física,3850,0.36,460,3390,0.32
2013-10-23,Pessoa Jurídica Não Financeira,41890,3.96,26095,15795,1.4899999999999998
2013-10-24,Bancos,226731,20.98,432474,-205743,-19.040000000000003
2013-10-24,DTVM'S e Corretoras de Valores,60,0.01,345,-285,-0.019999999999999997
2013-10-24,Invest Institucional Nacional,392229,36.29,366672,25557,2.3599999999999994
2013-10-24,Investidores Não Residentes,415648,38.46,253682,161966,14.990000000000002
2013-10-24,Outras Jurídicas Financeiras,55,0.01,0,55,0.01
2013-10-24,Pessoa Física,3650,0.34,430,3220,0.30000000000000004
